Place	State	Latitude	Longitude
Kokhanok 	AK	59.407512	-154.744169
Koliganek 	AK	59.736123	-157.266331
Kongiganak 	AK	59.923976	-162.851942
Kotlik 	AK	63.034125	-163.554705
Kotzebue 	AK	66.888023	-162.535388
Koyuk 	AK	64.93285	-161.148348
Koyukuk 	AK	64.913529	-157.650652
Kupreanof 	AK	56.808948	-132.985238
Kwethluk 	AK	60.771814	-161.38849
Kwigillingok 	AK	59.835882	-163.113734
Labouchere 	AK	56.296341	-133.632253
Lake Minchumina 	AK	63.874443	-152.412786
Larsen Bay 	AK	57.558681	-154.019734
Lazy Mountain 	AK	61.626178	-148.945657
Levelock 	AK	59.108594	-156.885009
Lignite 	AK	63.890511	-149.04641
Lime Village 	AK	61.432815	-155.472526
Long Island 	AK	54.91706	-132.679279
Lower Kalskag 	AK	61.51876	-160.349905
Lutak 	AK	59.341066	-135.565509
Manley Hot Springs 	AK	64.985763	-150.636587
Manokotak 	AK	59.009559	-158.989699
Marshall 	AK	61.875343	-162.060098
McCarthy 	AK	61.423206	-142.898032
McGrath 	AK	62.954315	-155.575753
McKinley Park 	AK	63.696655	-148.954823
Meadow Lakes 	AK	61.624594	-149.60123
Mekoryuk 	AK	60.365679	-166.283583
Mendeltna 	AK	62.066243	-146.449867
Mentasta Lake 	AK	62.851791	-143.760878
Metlakatla 	AK	55.124552	-131.580632
Meyers Chuck 	AK	55.714925	-132.222972
Minto 	AK	65.026198	-149.529566
Moose Creek 	AK	64.713723	-147.16518
Moose Pass 	AK	60.467277	-149.388376
Mosquito Lake 	AK	59.52925	-136.090978
Mountain Village 	AK	62.087808	-163.716689
Naknek 	AK	58.760722	-156.901849
Napakiak 	AK	60.676886	-161.978696
Napaskiak 	AK	60.663758	-161.738144
Naukati 	AK	55.873675	-133.18476
Nelson Lagoon 	AK	55.920749	-161.18903
Nenana 	AK	64.543954	-149.086694
New Stuyahok 	AK	59.473183	-157.262024
Newhalen 	AK	59.734437	-154.880083
Newtok 	AK	60.949358	-164.644051
Nightmute 	AK	60.448283	-164.804066
Nikiski 	AK	60.725224	-151.382747
Nikolaevsk 	AK	59.83234	-151.589226
Nikolai 	AK	62.995238	-154.390664
Nikolski 	AK	52.9613	-168.822061
Ninilchik 	AK	60.073494	-151.631301
Noatak 	AK	67.582831	-163.005221
Nome 	AK	64.509225	-165.415193
Nondalton 	AK	59.990396	-154.853101
Noorvik 	AK	66.828619	-161.042607
North Pole 	AK	64.753195	-147.355951
Northway 	AK	62.932888	-141.874895
Northway Junction 	AK	63.002092	-141.777345
Northway Village 	AK	62.977401	-141.903572
Nuiqsut 	AK	70.191531	-150.9946
Nulato 	AK	64.707622	-158.223607
Nunapitchuk 	AK	60.879145	-162.452467
Old Harbor 	AK	57.245032	-153.373587
Oscarville 	AK	60.69665	-161.759205
Ouzinkie 	AK	57.935175	-152.458165
Palmer 	AK	61.598923	-149.109874
Paxson 	AK	63.089858	-145.612966
Pedro 	AK	59.790507	-154.136625
Pelican 	AK	57.953164	-136.209853
Perryville 	AK	55.958639	-159.226086
Petersburg 	AK	56.773998	-132.861623
Pilot Point 	AK	57.619308	-157.459012
Pilot Station 	AK	61.941425	-162.875852
Pitkas Point 	AK	62.03126	-163.269979
Platinum 	AK	58.973944	-161.725226
Pleasant Valley 	AK	64.881333	-146.868546
Point 	AK	69.711136	-163.00889
Point Baker 	AK	56.35471	-133.62364
Point Hope 	AK	68.311254	-166.727131
Polk Inlet 	AK	55.349703	-132.545879
Port Alexander 	AK	56.218086	-134.63099
Port Alice 	AK	55.826492	-133.60283
Port Alsworth 	AK	60.2095	-154.304037
Port Clarence 	AK	65.066264	-166.824454
Port Graham 	AK	59.348525	-151.837369
Port Heiden 	AK	56.955113	-158.587784
Port Lions 	AK	57.89076	-152.858909
Port Protection 	AK	56.317143	-133.598063
Primrose 	AK	60.378301	-149.322824
Prudhoe 	AK	70.284047	-148.376162
Quinhagak 	AK	59.739381	-161.872373
Rampart 	AK	65.383627	-150.011201
Red Devil 	AK	61.790327	-157.347864
Ridgeway 	AK	60.53203	-151.085226
Rowan 	AK	56.653931	-134.251244
Ruby 	AK	64.71757	-155.520662
Russian Mission 	AK	61.794502	-161.353793
Salamatof 	AK	60.615924	-151.337406
Salcha 	AK	64.469257	-146.94149
Sand Point 	AK	55.319459	-160.491183
Savoonga 	AK	63.679737	-170.470908
Saxman 	AK	55.324617	-131.592159
Scammon Bay 	AK	61.845019	-165.581945
Selawik 	AK	66.603302	-160.02504
Seldovia 	AK	59.439076	-151.709114
Seward 	AK	60.113554	-149.39299
Shageluk 	AK	62.668392	-159.565135
Shaktoolik 	AK	64.36403	-161.204206
Sheldon Point 	AK	62.516887	-164.892782
Shishmaref 	AK	66.250656	-166.119539
Shungnak 	AK	66.875901	-157.155702
Sitka 	AK	57.21405	-135.446833
Skagway 	AK	59.520367	-135.335701
Skwentna 	AK	61.990238	-151.397818
Slana 	AK	62.701524	-143.993976
Sleetmute 	AK	61.721141	-157.183563
Soldotna 	AK	60.487489	-151.06436
South Naknek 	AK	58.685182	-156.980458
St. George 	AK	56.614741	-169.594616
St. John Harbor 	AK	56.43968	-132.963605
St. Mary's 	AK	62.046064	-163.246256
St. Michael 	AK	63.47759	-162.109141
St. Paul 	AK	57.210529	-170.218936
Stebbins 	AK	63.478468	-162.227355
Sterling 	AK	60.515179	-150.797051
Stevens Village 	AK	65.999046	-149.054652
Stony River 	AK	61.793128	-156.580762
Sutton 	AK	61.717255	-148.881229
Takotna 	AK	62.992833	-156.171777
Talkeetna 	AK	62.33694	-150.092575
Tanacross 	AK	63.3391	-143.432723
Tanana 	AK	65.155992	-152.101918
Tatitlek 	AK	60.883869	-146.677745
Teller 	AK	65.256049	-166.36303
Tenakee Springs 	AK	57.778393	-135.139441
Tetlin 	AK	63.064643	-142.438924
Thorne Bay 	AK	55.659194	-132.524696
Togiak 	AK	58.936107	-160.5767
Tok	AK	63.300305	-143.038777
Toksook Bay 	AK	60.493074	-165.094243
Tonsina 	AK	61.635818	-145.157477
Trapper Creek 	AK	62.241445	-150.415685
Tuluksak 	AK	61.115757	-160.939181
Tuntutuliak 	AK	60.326313	-162.740699
Tununak 	AK	60.578904	-165.244762
Twin Hills 	AK	59.07946	-160.210156
Two Rivers 	AK	64.870994	-147.090009
Tyonek 	AK	61.066993	-151.215174
Unalakleet 	AK	63.884662	-160.789767
Unalaska 	AK	53.934465	-166.510424
Upper Kalskag 	AK	61.539126	-160.32895
Valdez 	AK	61.083369	-146.302374
Venetie 	AK	67.014588	-146.397946
Wainwright 	AK	70.599953	-160.071563
Wales 	AK	65.609251	-168.079924
Wasilla 	AK	61.580211	-149.461598
Whale Pass 	AK	56.103172	-133.172668
White Mountain 	AK	64.683605	-163.419517
Whitestone Logging 	AK	58.071247	-135.429846
Whittier 	AK	60.79356	-148.651577
Willow 	AK	61.740786	-150.056317
Womens 	AK	57.682308	-152.66872
Wrangell 	AK	56.361602	-132.271579
Yakutat 	AK	59.557526	-139.762121
Abbeville 	AL	31.567949	-85.253681
Adamsville 	AL	33.595542	-86.957993
Addison 	AL	34.19994	-87.177921
Akron 	AL	32.876118	-87.738779
Alabaster 	AL	33.226547	-86.82462
Albertville 	AL	34.262453	-86.209414
Alexander City 	AL	32.927015	-85.934009
Aliceville 	AL	33.125078	-88.157999
Allgood 	AL	33.90643	-86.518044
Altoona 	AL	34.031381	-86.313552
Andalusia 	AL	31.307638	-86.48144
Anderson 	AL	34.91351	-87.270552
Anniston 	AL	33.66265	-85.813937
Arab 	AL	34.329635	-86.500127
Ardmore 	AL	34.98336	-86.836627
Argo 	AL	33.686661	-86.51003
Ariton 	AL	31.598373	-85.715372
Arley 	AL	34.084983	-87.210631
Ashford 	AL	31.185801	-85.234603
Ashland 	AL	33.270967	-85.8307
Ashville 	AL	33.834691	-86.264011
Athens 	AL	34.786009	-86.959899
Atmore 	AL	31.021694	-87.495438
Attalla 	AL	34.009983	-86.101863
Auburn 	AL	32.5929	-85.480322
Autaugaville 	AL	32.430993	-86.655798
Avon 	AL	31.180293	-85.276624
Babbie 	AL	31.300292	-86.31934
Baileyton 	AL	34.262079	-86.613498
Banks 	AL	31.814278	-85.838337
Bay Minette 	AL	30.880776	-87.776975
Bayou La Batre 	AL	30.403663	-88.250086
Bear Creek 	AL	34.260539	-87.715574
Beatrice 	AL	31.733754	-87.209042
Beaverton 	AL	33.93433	-88.021408
Belk 	AL	33.648083	-87.927732
Benton 	AL	32.307439	-86.817579
Berry 	AL	33.663185	-87.607693
Bessemer 	AL	33.375236	-86.960601
Billingsley 	AL	32.660336	-86.708534
Birmingham 	AL	33.527746	-86.799223
Black 	AL	31.009386	-85.74321
Blountsville 	AL	34.080871	-86.588414
Blue Mountain 	AL	33.688517	-85.837612
Blue Ridge 	AL	32.492484	-86.190617
Blue Springs 	AL	31.660501	-85.503092
Boaz 	AL	34.202618	-86.155491
Boligee 	AL	32.753	-88.024254
Bon Air 	AL	33.261319	-86.338052
Branchville 	AL	33.66112	-86.427038
Brantley 	AL	31.581672	-86.256677
Brent 	AL	32.942269	-87.176219
Brewton 	AL	31.114611	-87.072837
